x,y,z,h,local_x,local_y,local_z
399239.7159465821,6412083.36502268,126.40240350277112,15.37,-58.980000000000004,62.65,-15.49
399250.26274329063,6412020.474842372,126.40240350277112,15.37,-45.42,0.34,-15.49
399187.90286612924,6412054.61427149,126.39240350277112,15.36,-109.35000000000001,31.44,-15.5
399222.591663344,6412010.724707265,126.38240350277111,15.35,-72.59,-10.73,-15.51
399231.77617994783,6412061.942172595,126.38240350277111,15.35,-65.88,40.87,-15.51
399230.750694204,6412032.1269855425,126.38240350277111,15.35,-65.47,11.040000000000001,-15.51
399238.74911690876,6412028.36785875,126.38240350277111,15.35,-57.300000000000004,7.67,-15.51
399206.9653905193,6412013.049120658,126.37240350277112,15.34,-88.31,-9.16,-15.52
399211.2517571895,6412063.591436203,126.37240350277112,15.34,-86.46000000000001,41.53,-15.52
399231.09502013656,6412046.967603442,126.37240350277112,15.34,-65.84,25.88,-15.52
399219.9593967081,6412054.60213623,126.35240350277111,15.319999999999999,-77.33,32.97,-15.540000000000001
